"Timestamp","Jsem pracovník","Jsem z fakulty / odjinud","Jsem","O dění na UP jsem vnitřními informačními kanály informován(a)","Dění na UP ohledně vzniku Vysokoškolského ústavu (dále VŠÚ)","Informace získávám","Současné dění okolo VŠÚ na UP považuji za záležitost","Se způsobem, jakým se na UP řeší vznik VŠÚ, jsem","Na dění na UP ohledně vzniku VŠÚ","Na dění na UP ohledně etických kauz","K dění na UP ohledně vzniku VŠÚ","K dění na UP v etických kauzách","Svůj názor na dění na UP ohledně vzniku VŠÚ","Svůj názor na dění na UP ohledně etických kauz","Domníváte se, že některé etické kauzy je potřeba vyřešit před vznikem VŠÚ?","Současné etické kauzy na UP I","Současné etické kauzy na UP II","Dění okolo Etické komise UP","Etické podněty ohledně možného falšování dat považuji za","Etické podněty k chování, komunikaci, práci či rozhodování některých zaměstnanců či vedoucích pracovníků považuji za","Roli univerzitního ombudsmana/ky","Postoje a postup vedení UP v řešení vzniku VŠÚ považuji za","Postoje a postup vedení UP v řešení etických kauz považuji za","Způsob řešení problémů na UP ze strany vedení UP považuji za ","Univerzitu Palackého považuji z hlediska mé vědecké, pedagogické či jiné práce","Ad případný vznik VŠÚ na UP","Mám možnost se svobodně rozhodnout, zda ve VŠÚ chci pracovat nebo ne","Pokud bych měl možnost se rozhodnout, pak bych do VŠÚ ","O anketě jsem se dozvěděl(a) ","Anketu jsem uvítal(a)","Rád budu seznámen(a) s výsledky (budou zveřejněny na UP reflexi)","Comment"
"2020/02/22 10:13:55 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze serveru Věda a výzkum","celé univerzity","","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","z části účelové","nemám vyhraněný názor","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","spíše ano","ano",""
"2020/02/22 10:15:17 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","rektorátu UP","muž","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","z části účelové","účelové","nemám vyhraněný názor","zaujaté","mírně zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ano","ano",""
"2020/02/22 10:15:17 AM GMT+1","PhD student(ka)","PřF","muž","spíše dostatečně","zběžně sleduji","z Newsletteru UP;z vnitřní platformy UP reflexe;Informace nemám","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","nepovažuji za účelové","nedovedu posoudit","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo bez problémů","rozhodně nejsem pro vznik VŠÚ","nevím / netýká se mne","nechtěl(a) vstoupit","od kolegy/ně","ano","ano",""
"2020/02/22 10:15:44 AM GMT+1","PhD student(ka)","PřF","žena","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;ze sociálních sítí;z jiných médií","celé univerzity","spíše nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","málokdy vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ne","nepokládám za problém za hranicí obvyklých problémů na instituci podobného typu","pokládám za nepříliš dobře řešené","považuji za korektní","účelové","nepovažuji za účelové","bych rozhodně uvítal(a)","korektní","mírně zaujaté","spíše transparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","rozhodně jsem pro vznik VŠÚ","rozhodně ano","rozhodně chtěl(a) vstoupit","z UP reflexe","spíše ne","ano","Některé dotazníkové otázky jsou jen zbytečným rýpnutím do zjitřené situace, byl tvořen pouze ""jednou stranou"" a také tak vypadá."
"2020/02/22 10:16:27 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","nedostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","často vyjadřuji veřejně svůj názor","často vyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","rozhodně ano","nechtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 10:16:41 AM GMT+1","starší výzkumný pracovník/pracovnice (6 a více let od PhD)","PřF","muž","dostatečně","pravidelně sleduji","z www stránek UP;z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","občas vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","bych váhal(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","účelové","je spíše zbytečná","zaujaté","zaujaté","rozhodně netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","rozhodně ano","nechtěl(a) vstoupit","z UP reflexe","ano","ano",""
"2020/02/22 10:20:42 AM GMT+1","PhD student(ka)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze zpravodajských serverů","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych se neobával(a) vyjádřit veřejně a podepsat se","","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nepovažuji za účelové","účelové","bych spíše uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo bez problémů","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z oficiálního e-mailu/stránky UP;z oficiálního e-mailu/stránky fakulty","ano","ano",""
"2020/02/22 10:27:23 AM GMT+1","mladší výzkumný pracovník/pracovnice (do 5 let od PhD)","PřF","muž","spíše nedostatečně","pravidelně sleduji","z www stránek mé fakulty;z vnitřní platformy UP reflexe;z dŽurnálu","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","málokdy vyjadřuji veřejně svůj názor","občas vyjadřuji veřejně svůj názor","Záleží na konkrétních podtématech a jak moc se v nich orientuji.","bych se neobával(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","nedovedu posoudit","nedovedu posoudit","bych spíše uvítal(a)","Nedovedu posoudit, zda zaujaté, nicméně jsou někdy neprofesionální a nejsou dostatečně vysvětlené a podložené věcnými argumenty či daty.","Zavání zaujatostí, opět potom nejsou dostatečně vysvětlené, logicky někdy nedávají smysl.","rozhodně netransparentní","nedovedu posoudit","spíše nejsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ano","ano","Děkuji autorům dotazníku za jejich čas a úsilí."
"2020/02/22 10:30:14 AM GMT+1","administrativní/hospodářský/technický pracovník/pracovnice/manažer(ka)","PřF","muž","dostatečně","pravidelně sleduji","z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze serveru Věda a výzkum;z jiných médií","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych vyjádřil(a) pouze anonymně","bych vyjádřil(a) pouze anonymně","spíše ne","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za ne vždy korektní","účelové","účelové","je spíše zbytečná","korektní","korektní","spíše transparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","spíše jsem pro vznik VŠÚ","nevím / netýká se mne","nevím, netýká se mne","z UP reflexe","ne","ano",""
"2020/02/22 10:38:47 AM GMT+1","PhD student(ka)","PřF","žena","dostatečně","pravidelně sleduji","z www stránek UP;z Newsletteru UP;z vnitřní platformy UP reflexe;z dŽurnálu;ze sociálních sítí;ze zpravodajských serverů;ze serveru Věda a výzkum","celé univerzity","nespokojen(a)","mám utvořen vlastní názor","mám utvořen vlastní názor","nevyjadřuji veřejně svůj názor","nevyjadřuji veřejně svůj názor","bych se neobával(a) vyjádřit veřejně a podepsat se","bych váhal(a) vyjádřit veřejně a podepsat se","určitě ano","pokládám za velký problém","pokládám za nepříliš dobře řešené","považuji za nekorektní","účelové","účelové","bych rozhodně uvítal(a)","zaujaté","zaujaté","spíše netransparentní","za místo s problémy, které překračují hranici obvyklých problémů na instituci podobného typu","jsem pro vznik VŠÚ, ale po vyřešení některých důležitých otázek","rozhodně ano","nechtěl(a) vstoupit","z UP reflexe","ano","ano","Díky za usilovnou práci :)"
