,,,,,,,,,,,,,,,,
momentum+ rate confirmed correct,Beam Momentum Setting (MeV/c),Beam Momentum Measured (MeV/c),Beam Polarity,Run Number,VME Run Number,Trigger Config,Aerogel Index,Run Date,# Spills,# Muons,# Pions,pion max cut,muon min cut,muon max cut,statistics code comments,comments
,,,,,,,,,,,,,,,,
,240,214.05,Negative,1490,1468,LEP 5.1,1.047,3/31,655,1801,125,1900,2200,10000,,
,,,,Total,Total,,,,,1801,125,,,,,
,250,219.6,Negative,1420,1469,LEP 5.1,1.15,4/7,503,1085,62,1900,2000,11000,,
,250,224.41,Negative,1432,1472,LEP 5.1,1.13,4/7,143,471,36,1500,2000,9500,,
,250,223.4,Negative,1432,1473,LEP 5.1,1.13,4/7,324,1106,118,1500,2000,9900,,
,,,,Total,Total,,,,,,,,,,,
,260,233.05,Negative,1421,1470,LEP 5.1,1.15,4/7,530,2476,239,2000,4000,12000,,
,260,229.59,Negative,1433,1474,LEP 5.1,1.13,4/7,1014,2673,220,1200,2000,10000,,
,260,243.03,Negative,1928,1761,LEP9Li v2.0,1.11,5/2,439,1993,239,1000,1500,8000,,
,260,243.55,Negative,1930,1762,LEP9Li v2.0,1.11,5/2,503,1197,153,1000,1500,8000,,
,260,243.3,Negative,1932,1763,LEP9Li v2.0,1.11,5/3,552,2666,359,1000,1500,8500,,
,260,242.96,Negative,1934,1764,LEP9Li v2.0,1.11,5/3,374,1825,213,1000,1500,9000,,
,260,243.16,Negative,1935,1765,LEP9Li v2.0,1.11,5/3,383,1832,215,1000,1500,9000,,
,260,242.13,Negative,1936,1766,LEP9Li v2.0,1.11,5/3,320,1471,176,1000,1500,9000,,
,260,244.02,Negative,1937,1767,LEP9Li v2.0,1.11,5/3,447,2079,283,1000,1500,8000,,
,260,242.51,Negative,1938,1768,LEP9Li v2.0,1.11,5/3,256,1005,137,1000,1500,9000,,
,260,242.02,Negative,1939,1769,LEP9Li v2.0,1.11,5/3,408,1950,213,1000,1500,8000,,
,260,242.99,Negative,1941,1770,LEP9Li v2.0,1.11,5/3,513,2421,334,1000,1500,9000,,
,260,,Negative,1943,1771,LEP9Li v2.0,1.11,5/3,,,,,,,Odd behaviour (double clusters) seen in h_run1771_act2_vs_t0t1_e-veto.png plot from bruno's code,
,,,,Total,Total,,,,,18439,2322,,,,,
,270,243.51,Negative,1434,1475,LEP 5.1,1.13,4/8,850,4619,555,1700,3000,11000,,
,270,255.14,Negative,1441,1481,LEP 5.1,1.13,4/8,138,923,144,2500,3500,11000,,
,270,255.22,Negative,1442,1482,LEP 5.1,1.13,4/8,500,3572,539,1700,2200,11000,,
,270,253.4,Negative,1781,1664,LEP9Li v2.0,1.11,4/25,61,367,65,1200,1900,9000,,"""Li9 window delayed by 0.05 seconds relative to spill, stopped to change"""
,270,253.9,Negative,1782,1665,LEP9Li v2.0,1.11,4/25,590,3187,493,1200,1900,8500,,
,270,252.55,Negative,1784,1666,LEP9Li v2.0,1.11,4/25,243,1439,215,1200,1900,8500,,
,270,253.59,Negative,1785,1667,LEP9Li v2.0,1.11,4/25,145,806,117,1200,1900,8500,,
,270,,Negative,1945,1772,LEP9Li v2.0,1.11,5/4,,,,,,,,
,270,249.82,Negative,1947,1773,LEP9Li v2.0,1.11,5/4,544,2887,444,1200,1900,8500,,
,270,250.18,Negative,1948,1774,LEP9Li v2.0,1.11,5/4,513,2662,380,1200,1900,8500,,
,270,248.91,Negative,1952,1776,LEP9Li v2.0,1.11,5/4,318,1682,247,1200,1900,8500,,
,270,250.08,Negative,1954,1777,LEP9Li v2.0,1.11,5/4,267,1399,206,1200,1900,8500,,
,270,250.25,Negative,1956,1778,LEP9Li v2.0,1.11,5/4,417,2293,340,1200,1900,8500,,"""run stopped due to dropped packets from allmPMTs"""
,270,249.6,Negative,1962,1779,LEP9Li v2.0,1.11,5/5,524,2226,351,1200,1900,8500,,
